radiant_team,dire_team,radiant_win
"136,70,38,28,72","14,60,13,8,5",true
"75,105,42,11,119","64,114,30,63,67",true
"5,99,93,82,45","3,14,1,53,105",true
"35,98,77,67,64","8,40,44,5,4",true
"90,85,2,59,32","112,39,138,129,4",true
"28,101,36,111,70","14,50,10,12,29",false
"45,7,105,58,70","112,63,79,31,42",true
"8,40,62,49,128","30,20,99,11,18",true
"40,62,93,26,64","83,16,32,91,113",false
"45,42,14,29,50","97,138,76,75,93",true
"11,16,54,30,53","74,119,32,42,26",true
"120,111,60,18,74","32,42,39,36,71",false
"30,28,41,111,17","36,12,112,64,29",false
"41,104,62,21,10","11,14,36,64,42",false
"14,113,100,4,86","97,96,46,27,93",false
"17,95,14,90,29","22,128,114,66,15",true
"1,11,28,30,121","39,40,114,35,14",false
"22,49,85,67,86","113,111,63,21,93",false
"104,67,79,13,29","81,20,68,54,11",false
"93,30,40,62,97","100,11,63,77,14",true
"83,68,102,108,126","59,67,60,62,25",true
"113,64,80,15,75","104,58,76,83,1",true
"78,104,75,114,7","63,70,25,11,129",true
"50,10,27,74,2","48,104,35,30,85",true
"69,85,26,36,48","25,1,84,45,42",false
"104,53,44,40,70","14,50,99,93,3",true
"74,42,86,75,44","45,50,101,25,95",false
"86,11,136,42,12","75,96,25,63,45",true
"80,40,52,44,2","4,91,99,84,74",true
"37,84,72,28,48","121,75,12,36,8",true
"66,99,137,114,20","10,113,95,119,16",false
"129,12,31,22,35","39,14,28,89,75",false
"72,71,1,25,66","86,92,67,37,107",false
"50,76,80,32,86","63,48,71,14,35",true
"45,39,2,114,121","86,104,68,28,11",false
"54,86,21,81,136","51,44,59,84,13",true
"55,25,14,23,10","13,48,66,53,28",false
"87,37,71,6,74","97,48,8,31,50",false
"13,112,72,128,42","53,25,135,11,9",true
"14,98,114,21,35","37,75,11,47,1",true
"2,51,95,88,121","18,28,14,11,33",true
"126,72,40,42,8","96,93,26,35,83",true
"8,64,49,48,53","41,50,104,75,11",true
"30,114,7,135,19","23,96,93,56,11",true
"37,12,135,83,104","114,97,6,39,56",true
"81,135,43,37,85","111,18,42,74,75",true
"81,54,14,111,84","50,42,68,64,67",true
"75,33,8,31,74","27,67,21,35,96",false
"45,16,14,10,104","12,119,71,87,36",true
"74,111,88,135,6","59,2,80,91,105",false
"83,1,23,129,6","28,40,73,95,84",false
"2,67,9,44,121","47,8,74,72,91",false
"2,14,87,41,47","96,83,35,50,34",false
