match_id,radiant_team,dire_team,radiant_win
7479592615,"44,56,88,55,25","83,74,42,48,113",false
7479589916,"2,5,45,67,76","110,42,88,11,84",false
7479589513,"59,123,96,105,48","75,82,99,88,95",true
7479586802,"97,70,121,82,27","45,126,14,68,12",true
7479585218,"89,83,30,8,93","10,105,14,23,106",false
7479584910,"101,93,83,71,36","89,68,41,138,84",false
7479584804,"5,30,46,44,38","18,4,26,100,8",true
7479583603,"12,121,64,28,11","49,42,62,6,31",true
7479582900,"6,71,29,86,45","84,11,66,93,36",true
7479582219,"62,109,53,35,76","36,44,32,96,26",true
7479582112,"20,28,26,22,48","61,63,138,21,3",false
7479581507,"74,5,53,12,80","63,121,26,71,21",true
7479581410,"101,28,2,45,59","97,91,120,70,74",true
7479581113,"84,64,57,41,25","50,81,11,105,28",true
7479580815,"75,47,135,93,83","15,85,36,113,5",true
7479579513,"68,50,28,74,6","114,26,47,75,25",false
7479579313,"23,136,114,7,72","81,126,30,14,44",true
7479578914,"21,83,1,106,23","17,8,71,99,26",true
7479578407,"25,32,2,128,44","114,74,57,96,62",true
7479578308,"6,1,113,85,56","64,120,104,27,36",true
7479577906,"81,41,62,34,106","47,32,75,104,30",false
7479577813,"23,14,20,12,42","87,41,85,53,73",false
7479577808,"10,35,28,7,46","104,14,67,30,74",true
7479577619,"30,14,11,99,44","88,53,93,68,26",true
7479577618,"36,75,12,2,14","119,102,61,13,67",false
7479577315,"42,9,93,50,83","28,14,12,6,8",true
7479577314,"30,23,54,71,20","97,35,84,104,48",true
7479576918,"40,11,4,35,99","86,29,102,48,41",false
7479576916,"75,109,2,47,136","32,111,25,16,1",true
7479576708,"119,87,1,17,53","46,28,71,30,23",false
7479576514,"13,28,25,138,56","104,86,121,8,35",false
7479576317,"71,83,49,22,54","84,53,29,80,73",false
7479576204,"104,5,108,73,53","67,42,71,17,68",true
7479576117,"53,8,26,36,75","30,49,10,67,20",false
7479576014,"112,121,28,10,74","48,95,14,80,111",true
7479575518,"37,67,42,113,14","30,2,6,59,26",true
7479575513,"91,30,96,113,32","26,76,41,20,36",false
7479575319,"82,20,51,104,26","72,71,74,48,75",true
7479575315,"105,71,81,47,61","20,21,1,80,5",true
7479575314,"42,36,25,37,93","101,84,11,48,104",false
7479575308,"35,16,34,30,75","3,54,14,57,64",false
7479575119,"45,6,104,74,26","121,25,63,28,53",true
7479575103,"40,121,42,48,45","50,67,56,102,26",true
7479574501,"32,53,26,135,59","76,80,41,75,71",true
7479574407,"1,99,50,35,31","12,7,129,9,137",true
7479574401,"18,76,31,75,96","8,58,29,110,23",true
7479574211,"26,135,126,75,62","41,32,47,22,25",false
7479574019,"84,12,71,83,25","28,75,41,138,101",true
7479573912,"60,25,110,48,86","104,136,47,88,6",true
7479573814,"54,128,75,56,42","23,74,12,30,76",true
7479573601,"1,111,59,33,14","12,5,26,99,35",true
7479573304,"51,48,53,76,42","114,72,29,13,136",true
7479573105,"27,20,14,12,98","23,62,53,22,32",true
7479573000,"3,85,84,5,126","112,108,80,50,93",false
7479572909,"97,100,15,63,75","49,12,22,126,3",true
7479572907,"96,105,75,89,59","26,62,10,40,80",true
7479572902,"56,12,123,2,92","70,36,27,106,83",true
7479572510,"66,111,42,23,48","67,13,107,22,20",true
7479572410,"46,102,12,53,85","35,25,16,7,44",false
7479572217,"53,12,49,62,59","54,10,121,30,28",true
7479572114,"87,135,73,8,20","64,18,28,23,84",true
7479572113,"84,110,50,70,21","1,30,26,2,49",true
7479572005,"64,17,101,80,44","8,72,2,45,39",false
7479571905,"6,20,35,96,71","27,48,99,50,126",true
7479571902,"121,100,28,46,1","72,94,26,50,59",true
7479571709,"35,20,56,96,72","25,101,6,19,27",true
7479571402,"128,135,35,75,8","97,95,113,46,42",true
7479571303,"48,121,71,36,20","11,60,41,86,68",true
7479571219,"37,71,74,70,67","126,45,8,98,14",false
7479571216,"105,90,104,106,107","11,55,72,93,36",false
7479571215,"68,67,53,42,35","12,21,60,119,62",true
7479571202,"80,70,27,42,119","68,28,110,6,50",false
7479570815,"36,50,71,48,60","79,89,84,128,76",false
7479570709,"62,35,20,69,93","11,22,30,129,84",false
7479570708,"23,5,8,74,75","22,12,81,105,53",true
7479570619,"59,41,56,71,84","9,86,102,126,138",true
7479570618,"55,71,8,27,80","59,7,26,107,44",false
7479570515,"137,97,22,54,74","8,98,80,67,20",true
7479570510,"86,91,138,23,77","32,121,35,71,104",true
7479570314,"96,35,42,14,5","36,6,47,83,7",false
7479570300,"63,26,36,10,29","75,137,138,83,23",true
7479570214,"36,107,101,138,126","19,22,6,71,50",true
7479570213,"48,71,35,69,53","33,37,23,63,111",true
7479570119,"48,128,45,36,54","67,85,42,46,83",true
7479570115,"44,50,97,93,16","22,45,18,39,29",false
7479570114,"79,26,28,39,80","93,68,72,69,8",true
7479570012,"1,30,53,102,59","41,64,80,114,62",true
7479569911,"30,28,71,27,42","11,121,41,97,19",false
7479569806,"83,23,41,45,114","6,40,16,104,121",true
7479569804,"42,83,41,25,50","87,119,48,99,59",true
7479569711,"71,80,104,30,6","96,81,53,64,50",true
7479569706,"120,97,41,72,42","1,28,121,39,31",false
7479569618,"37,28,14,6,45","50,67,30,59,71",false
7479569617,"23,41,85,17,91","14,71,10,21,58",false
7479569510,"30,48,21,36,42","19,26,138,12,86",true
7479569406,"75,16,86,28,95","21,89,36,14,68",false
7479569405,"31,44,49,121,7","88,40,8,14,35",false
7479569400,"14,60,44,9,25","84,93,50,81,28",false
7479569317,"34,56,45,67,23","36,88,102,8,105",true
7479569303,"50,74,8,10,71","39,27,81,93,75",false
7479569217,"6,85,36,5,75","112,44,84,63,71",true
7479569111,"3,114,34,50,100","28,102,64,74,48",false
7479569002,"41,81,35,71,76","21,4,9,53,14",true
7479568813,"22,26,7,62,44","27,28,97,102,95",true
7479568707,"79,106,63,32,49","62,22,19,102,137",false
7479568706,"6,106,40,71,84","73,128,86,67,53",false
7479568616,"1,9,53,28,96","44,76,107,30,26",false
7479568512,"41,84,22,27,16","19,76,69,23,12",true
7479568505,"14,5,113,96,95","83,40,93,59,29",false
7479568408,"6,64,27,36,78","7,40,41,50,74",true
7479568403,"77,20,126,35,44","84,80,30,99,42",false
7479568402,"64,1,104,74,105","31,59,41,36,62",true
7479568313,"26,68,59,8,36","15,41,71,14,34",true
7479568312,"26,35,14,42,8","71,23,45,39,48",false
7479568215,"71,114,87,62,25","60,64,17,75,41",false
7479568212,"64,68,75,28,41","6,62,56,81,76",false
7479568203,"7,25,81,85,62","23,12,35,27,53",false
7479568201,"29,41,68,9,110","88,48,105,102,46",false
7479568009,"11,104,44,88,36","34,71,64,81,42",false
7479568004,"14,53,104,93,138","81,95,126,27,5",true
7479567919,"71,104,46,37,48","47,41,14,86,108",true
7479567916,"12,83,57,53,39","11,26,23,44,75",false
7479567810,"38,42,54,138,121","32,26,44,23,83",false
7479567809,"74,108,72,76,93","31,40,23,1,88",false
7479567702,"21,80,74,87,54","42,40,76,30,138",false
7479567511,"88,67,35,74,42","12,84,97,37,62",false
7479567510,"104,36,30,47,27","6,37,86,7,28",true
7479567500,"26,2,35,119,1","72,11,93,28,71",true
7479567415,"84,104,37,76,138","30,44,36,7,53",true
7479567412,"16,138,82,26,85","71,76,93,86,30",true
